id_base_site	id_base_visit	altitude	longitude	latitude	cd_nom	base_site_name	species	visit_date	visit_year	visit_month	pheno_etape	Percentage	fruits_amount	Region	day_of_year
10001	10001	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2007-09-24	2007	9	Changement de couleur	10.0		Mont-Blanc Massif	267
10001	10002	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2007-10-08	2007	10	Changement de couleur	50.0		Mont-Blanc Massif	281
10001	10004	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2008-09-26	2008	9	Changement de couleur	10.0		Mont-Blanc Massif	270
10001	10005	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2009-04-23	2009	4	Débourrement	10.0		Mont-Blanc Massif	113
10001	10006	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2009-04-28	2009	4	Feuillaison	10.0		Mont-Blanc Massif	118
10001	10007	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2009-05-26	2009	5	Floraison	10.0		Mont-Blanc Massif	146
10001	10008	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2009-09-25	2009	9	Changement de couleur	10.0		Mont-Blanc Massif	268
10001	10009	1040.0	6.61069	45.85218	85904	Bouleau pubescent 1	bouleau	2009-10-23	2009	10	Changement de couleur	50.0		Mont-Blanc Massif	296
10002	10010	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2007-09-24	2007	9	Changement de couleur	10.0		Mont-Blanc Massif	267
10002	10011	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2007-10-08	2007	10	Changement de couleur	50.0		Mont-Blanc Massif	281
10002	10013	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2008-09-19	2008	9	Changement de couleur	10.0		Mont-Blanc Massif	263
10002	10014	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2008-09-26	2008	9	Changement de couleur	50.0		Mont-Blanc Massif	270
10002	10015	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2009-03-13	2009	3	Débourrement	10.0		Mont-Blanc Massif	72
10002	10016	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2009-04-28	2009	4	Feuillaison	10.0		Mont-Blanc Massif	118
10002	10017	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2009-05-26	2009	5	Floraison	10.0		Mont-Blanc Massif	146
10002	10018	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2009-09-25	2009	9	Changement de couleur	10.0		Mont-Blanc Massif	268
10002	10019	1040.0	6.61069	45.85218	85904	Bouleau pubescent 2	bouleau	2009-10-23	2009	10	Changement de couleur	50.0		Mont-Blanc Massif	296
10003	10020	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2007-09-24	2007	9	Changement de couleur	10.0		Mont-Blanc Massif	267
10003	10021	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2007-10-08	2007	10	Changement de couleur	50.0		Mont-Blanc Massif	281
10003	10023	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2008-09-19	2008	9	Changement de couleur	10.0		Mont-Blanc Massif	263
10003	10024	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2008-10-03	2008	10	Changement de couleur	50.0		Mont-Blanc Massif	277
10003	10025	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2009-03-13	2009	3	Débourrement	10.0		Mont-Blanc Massif	72
10003	10026	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2009-04-28	2009	4	Feuillaison	10.0		Mont-Blanc Massif	118
10003	10027	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2009-05-26	2009	5	Floraison	10.0		Mont-Blanc Massif	146
10003	10028	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2009-09-25	2009	9	Changement de couleur	10.0		Mont-Blanc Massif	268
10003	10029	1040.0	6.61069	45.85218	85904	Bouleau pubescent 3	bouleau	2009-10-23	2009	10	Changement de couleur	50.0		Mont-Blanc Massif	296
10004	10030	1040.0	6.61069	45.85218	124308	Sorbier 1	sorbier	2007-09-24	2007	9	Changement de couleur	10.0		Mont-Blanc Massif	267
10004	10031	1040.0	6.61069	45.85218	124308	Sorbier 1	sorbier	2007-10-08	2007	10	Changement de couleur	50.0		Mont-Blanc Massif	281
10004	10033	1040.0	6.61069	45.85218	124308	Sorbier 1	sorbier	2008-09-26	2008	9	Changement de couleur	10.0		Mont-Blanc Massif	270
10004	10034	1040.0	6.61069	45.85218	124308	Sorbier 1	sorbier	2009-03-03	2009	3	Débourrement	10.0		Mont-Blanc Massif	62
10004	10035	1040.0	6.61069	45.85218	124308	Sorbier 1	sorbier	2009-04-23	2009	4	Feuillaison	10.0		Mont-Blanc Massif	113
10004	10036	1040.0	6.61069	45.85218	124308	Sorbier 1	sorbier	2009-05-26	2009	5	Floraison	10.0		Mont-Blanc Massif	146
10005	10038	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2007-09-24	2007	9	Changement de couleur	50.0		Mont-Blanc Massif	267
10005	10040	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2008-09-12	2008	9	Changement de couleur	10.0		Mont-Blanc Massif	256
10005	10041	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2008-09-19	2008	9	Changement de couleur	50.0		Mont-Blanc Massif	263
10005	10042	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2009-03-03	2009	3	Débourrement	10.0		Mont-Blanc Massif	62
10005	10043	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2009-04-23	2009	4	Feuillaison	10.0		Mont-Blanc Massif	113
10005	10044	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2009-05-26	2009	5	Floraison	10.0		Mont-Blanc Massif	146
10005	10045	1040.0	6.61069	45.85218	124308	Sorbier 2	sorbier	2009-09-25	2009	9	Changement de couleur	10.0		Mont-Blanc Massif	268
10200	11900	883.0	6.718916	45.87808	85903	Bouleau verruqueux 1	bouleau	2005-10-14	2005	10	Changement de couleur	50.0		Mont-Blanc Massif	287
10200	11902	883.0	6.718916	45.87808	85903	Bouleau verruqueux 1	bouleau	2006-04-20	2006	4	Débourrement	10.0		Mont-Blanc Massif	110
10200	11903	883.0	6.718916	45.87808	85903	Bouleau verruqueux 1	bouleau	2006-04-23	2006	4	Floraison	10.0		Mont-Blanc Massif	113
10201	11904	883.0	6.718916	45.87808	85903	Bouleau verruqueux 2	bouleau	2005-10-23	2005	10	Changement de couleur	50.0		Mont-Blanc Massif	296
10201	11906	883.0	6.718916	45.87808	85903	Bouleau verruqueux 2	bouleau	2006-04-21	2006	4	Débourrement	10.0		Mont-Blanc Massif	111
10201	11907	883.0	6.718916	45.87808	85903	Bouleau verruqueux 2	bouleau	2006-04-25	2006	4	Floraison	10.0		Mont-Blanc Massif	115
10202	11908	883.0	6.718916	45.87808	85903	Bouleau verruqueux 3	bouleau	2005-10-16	2005	10	Changement de couleur	50.0		Mont-Blanc Massif	289
10202	11910	883.0	6.718916	45.87808	85903	Bouleau verruqueux 3	bouleau	2006-04-23	2006	4	Débourrement	10.0		Mont-Blanc Massif	113
10202	11911	883.0	6.718916	45.87808	85903	Bouleau verruqueux 3	bouleau	2006-04-27	2006	4	Floraison	10.0		Mont-Blanc Massif	117
10206	11912	883.0	6.718916	45.87808	92606	Noisetier 1	noisetier	2006-03-22	2006	3	Floraison	10.0		Mont-Blanc Massif	81
10206	11913	883.0	6.718916	45.87808	92606	Noisetier 1	noisetier	2006-04-18	2006	4	Débourrement	10.0		Mont-Blanc Massif	108
10207	11914	883.0	6.718916	45.87808	92606	Noisetier 2	noisetier	2006-03-24	2006	3	Floraison	10.0		Mont-Blanc Massif	83
10207	11915	883.0	6.718916	45.87808	92606	Noisetier 2	noisetier	2006-04-15	2006	4	Débourrement	10.0		Mont-Blanc Massif	105
10208	11916	883.0	6.718916	45.87808	92606	Noisetier 3	noisetier	2006-03-22	2006	3	Floraison	10.0		Mont-Blanc Massif	81
10208	11917	883.0	6.718916	45.87808	92606	Noisetier 3	noisetier	2006-04-15	2006	4	Débourrement	10.0		Mont-Blanc Massif	105
